id,property_name,property_type,district,rental_price,beds,baths,sqft,mrt,latitude,longitude,completion_year,url,created_at,updated_at,street_name,lease_date
00056956-434e-45f1-9cf6-561b329ab7bc,SIMS POINT,Condo,14,4500,3,,1250,,0,0,,,2025-02-17 02:49:39.234+00,2025-02-17 03:21:58.032869+00,LORONG 19 GEYLANG,Oct-24
00071e87-3901-4355-9ba1-1af2e0138ecc,CASA SARINA,Condo,14,4800,3,,1250,,0,0,,,2025-02-17 02:49:39.223+00,2025-02-17 03:21:56.20554+00,LORONG SARINA,Dec-24
000bf64c-1acb-4fb2-a366-90760177e1b6,THE FLORAVALE,Condo,22,2800,3,,1250,,0,0,,,2025-02-17 02:49:39.209+00,2025-02-17 03:21:58.472627+00,WESTWOOD AVENUE,Nov-24
001157e7-c1bd-486a-a454-15cae65afa7f,SPOTTISWOODE 18,Condo,2,3350,1,,550,,0,0,,,2025-02-17 02:49:39.213+00,2025-02-17 02:49:41.744367+00,SPOTTISWOODE PARK ROAD,Dec-24
0012599b-b0e8-427d-8a70-f66a3ad18c3b,HILLVIEW REGENCY,Condo,23,4200,2,,950,,0,0,,,2025-02-17 02:49:39.227+00,2025-02-17 03:21:56.852835+00,BUKIT BATOK EAST AVENUE 2,Nov-24
001830cb-5a27-4d14-b9a0-a59fd94ffc2a,CAPE ROYALE,Condo,4,15000,4,,2550,,0,0,,,2025-02-17 02:49:39.216+00,2025-02-17 03:21:56.102822+00,COVE WAY,Dec-24
001872fd-c6a2-459f-a2dc-0640e1009c31,LINCOLN SUITES,Condo,11,4000,0,,450,,0,0,,,2025-02-17 02:49:39.235+00,2025-02-17 03:21:57.129608+00,KHIANG GUAN AVENUE,Oct-24
0018a19b-b948-4d66-9823-6912307885c0,J GATEWAY,Condo,22,3550,1,,450,,0,0,,,2025-02-17 02:49:39.213+00,2025-02-17 03:21:56.941755+00,GATEWAY DRIVE,Dec-24
00199484-e0a2-4533-bd99-d0fb890f403b,WANDERVALE,Condo,23,4900,4,,1250,,0,0,,,2025-02-17 02:49:39.21+00,2025-02-17 03:21:59.035794+00,CHOA CHU KANG AVENUE 3,Aug-24
001a6f60-441c-4bdb-8db0-6646cf612aa5,REGENT RESIDENCES,Condo,12,2600,1,,450,,0,0,,,2025-02-17 02:49:39.23+00,2025-02-17 03:21:57.761703+00,SERANGOON ROAD,Oct-24
